date,cases,deaths,uf,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-04-07,1,0,PB,69444,2516201,1.44001,
2020-04-07,41,4,PB,4018127,25,1.02038,0.0976
2020-04-07,1,0,PE,38386,2600708,2.60512,
2020-04-07,1,0,PE,76439,2601706,1.30823,
2020-04-07,1,0,PE,39184,2602209,2.55206,
2020-04-07,6,1,PE,207048,2602902,2.89788,0.1667
2020-04-07,1,0,PE,20380,2603108,4.90677,
2020-04-07,10,1,PE,157828,2603454,6.33601,0.1
2020-04-07,3,0,PE,361118,2604106,0.83075,
2020-04-07,1,1,PE,42892,2604205,2.33144,1.0
2020-04-07,14,0,PE,3061,2605459,457.36687,
2020-04-07,2,1,PE,79758,2606200,2.50759,0.5
2020-04-07,1,0,PE,117019,2606804,0.85456,
2020-04-07,7,1,PE,,,,0.1429
2020-04-07,1,0,PE,30854,2607307,3.24107,
2020-04-07,24,1,PE,702298,2607901,3.41735,0.0417
2020-04-07,1,1,PE,18071,2608453,5.53373,1.0
2020-04-07,1,1,PE,25376,2609006,3.94073,1.0
2020-04-07,2,0,PE,62784,2609402,3.18552,
2020-04-07,18,3,PE,392482,2609600,4.5862,0.1667
2020-04-07,2,1,PE,63250,2610004,3.16206,0.5
2020-04-07,4,1,PE,56506,2610608,7.07889,0.25
2020-04-07,8,0,PE,331774,2610707,2.41128,
2020-04-07,3,0,PE,349145,2611101,0.85924,
2020-04-07,221,18,PE,1645727,2611606,13.42872,0.0814
2020-04-07,1,0,PE,60930,2612208,1.64123,
2020-04-07,14,3,PE,113230,2613701,12.36421,0.2143
2020-04-07,1,0,PE,53022,2615300,1.88601,
2020-04-07,3,0,PE,138757,2616407,2.16205,
2020-04-07,352,34,PE,9557071,26,3.68314,0.0966
2020-04-07,1,0,PI,46833,2202208,2.13525,
2020-04-07,1,1,PI,153078,2207702,0.65326,1.0
2020-04-07,2,0,PI,28791,2208304,6.94662,
2020-04-07,3,1,PI,5346,2210052,56.11672,0.3333
2020-04-07,24,3,PI,864845,2211001,2.77506,125
2020-04-07,31,5,PI,3273227,22,0.94708,0.1613
2020-04-07,3,0,PR,118623,4100400,2.52902,
2020-04-07,7,0,PR,123027,4101507,5.68981,
2020-04-07,3,0,PR,13970,4101705,21.47459,
2020-04-07,2,0,PR,143843,4101804,1.3904,
2020-04-07,3,0,PR,33362,4102000,8.99227,
2020-04-07,1,0,PR,12941,4102307,7.72738,
2020-04-07,1,0,PR,31367,4102406,3.18806,
2020-04-07,3,0,PR,106533,4103701,2.81603,
2020-04-07,1,0,PR,43288,4104006,2.31011,
2020-04-07,9,0,PR,132002,4104204,6.81808,
2020-04-07,1,0,PR,29318,4104253,3.41087,
2020-04-07,15,3,PR,94859,4104303,15.81294,0.2
2020-04-07,41,1,PR,328454,4104808,12.48272,0.0244
2020-04-07,2,0,PR,71484,4104907,2.79783,
2020-04-07,1,0,PR,19254,4105409,5.19373,
2020-04-07,13,1,PR,82620,4105508,15.73469,0.0769
2020-04-07,5,0,PR,243726,4105805,2.05148,
2020-04-07,1,0,PR,18584,4106209,5.38097,
2020-04-07,1,0,PR,47845,4106407,2.09008,
2020-04-07,194,3,PR,1933105,4106902,10.03567,0.0155
2020-04-07,1,0,PR,17251,4107603,5.79677,
2020-04-07,2,0,PR,100209,4107652,1.99583,
2020-04-07,26,0,PR,258532,4108304,10.05678,
2020-04-07,1,0,PR,91093,4108403,1.09778,
2020-04-07,1,0,PR,28884,4108601,3.46212,
2020-04-07,2,0,PR,33119,4108809,6.03883,
2020-04-07,2,0,PR,12472,4109302,16.03592,
2020-04-07,1,0,PR,181504,4109401,0.55095,
2020-04-07,1,0,PR,31364,4109708,3.18837,
2020-04-07,1,0,PR,6352,4109757,15.74307,
2020-04-07,8,0,PR,,,,
2020-04-07,1,0,PR,10169,4110805,9.83381,
2020-04-07,2,0,PR,48163,4113205,4.15257,
2020-04-07,1,0,PR,3954,4113403,25.29084,
2020-04-07,54,2,PR,569733,4113700,9.47812,37
2020-04-07,1,0,PR,26869,4114302,3.72176,
2020-04-07,2,0,PR,52944,4114609,3.77758,
2020-04-07,23,2,PR,423666,4115200,5.4288,87
2020-04-07,2,0,PR,6610,4115309,30.25719,
2020-04-07,2,0,PR,34720,4115705,5.76037,
2020-04-07,4,0,PR,46198,4115804,8.65838,
2020-04-07,1,0,PR,50986,4117602,1.96132,
2020-04-07,2,0,PR,33877,4117701,5.90371,
2020-04-07,5,0,PR,154936,4118204,3.22714,
2020-04-07,3,0,PR,88374,4118402,3.39466,
2020-04-07,3,0,PR,82881,4118501,3.61965,
2020-04-07,1,0,PR,13996,4118808,7.1449,
2020-04-07,8,0,PR,132157,4119152,6.05341,
2020-04-07,1,0,PR,32391,4119301,3.08728,
2020-04-07,1,0,PR,113036,4119509,0.88467,
2020-04-07,5,0,PR,351736,4119905,1.42152,
2020-04-07,1,1,PR,11123,4120507,8.99038,1.0
2020-04-07,2,1,PR,7449,4120705,26.84924,0.5
2020-04-07,1,0,PR,19049,4121208,5.24962,
2020-04-07,1,0,PR,32397,4122206,3.08671,
2020-04-07,1,0,PR,34170,4122305,2.92654,
2020-04-07,1,0,PR,66580,4122404,1.50195,
2020-04-07,2,1,PR,12037,4123402,16.61544,0.5
2020-04-07,9,0,PR,323340,4125506,2.78345,
2020-04-07,1,0,PR,2160,4125555,46.2963,
